,model_id,label,train length,dev length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl,random ablate kl mean,random ablate kl std,all random ablate kls,random ablate mlm kl mean,random ablate mlm kl std,all random ablate mlm kls
0,7c533445-b4f6-453f-bad0-4ce008ff460c,dep,16521,1522,15977,16,0.001,0,0,0,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.613825567307011,2.810281833012899,0.7584357263144764,0.11632258466911995,0.5659385366464292,0.11698065969831634,434800.0,2359296,0.18929254302103252,0.08795411089866156,1.8196613027306405,-1,-1,-1,0.5627304825986397,0.09843060141852526,"[0.5558493853071224, 0.43712336368208254, 0.591204651151211, 0.6763411862900335, 0.5719751147725463, 0.6008141288489882, 0.36980870516152803, 0.602381903780274, 0.5051320491131891, 0.7166743378794216]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1,da3a9869-59df-41c3-a083-500bb7fd550e,dep,16521,1522,15977,16,0.001,0,0,0,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.74274988712803,2.789582292238871,0.5438640184297366,0.11649336903057095,0.5275708831445203,0.11698065969831634,274707.0,4718592,0.18929254302103252,0.09177820267686425,1.5730010033261632,-1,-1,-1,0.03749348924295245,0.002285191695251622,"[0.043952304896007606, 0.038013081401681505, 0.037508583433541465, 0.03653240264639724, 0.03742085998418454, 0.03665050752152296, 0.03537098657864533, 0.035907601915095705, 0.0373292148607107, 0.03624934919173737]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2,c180df7a-cd5d-478c-836c-9f04f8cded8f,dep,16521,1522,15977,16,0.001,0,0,1,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.614807455770431,2.7768106857935586,0.771097112206075,0.11632258466911995,0.6054328096638918,0.11698065969831634,435300.0,2359296,0.18929254302103252,0.16443594646271512,0.36308834156160374,-1,-1,-1,0.07559108697661479,0.005036262159492159,"[0.07099513873847295, 0.07601233847662474, 0.07507817284782803, 0.07857060234891601, 0.08239403767825844, 0.07723804520071502, 0.08465182302558855, 0.07212530540918528, 0.06800858331683944, 0.07083682272371933]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
3,f4dd4142-fa3e-4c5f-83cf-b7afbf71f4dd,dep,16521,1522,15977,16,0.001,0,0,1,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.634405116881094,2.7939364910125732,0.749579727289708,0.11649336903057095,0.5987356825436565,0.11698065969831634,382291.0,4718592,0.18929254302103252,0.11982154238368388,0.942475240499522,-1,-1,-1,0.053201019695566454,0.005912810554712753,"[0.04690059178038111, 0.05008084824162733, 0.05525912594232991, 0.047282576940863505, 0.05550815832698475, 0.05308617323807959, 0.064720323999039, 0.06210639326339926, 0.048503309241368406, 0.04856269598159158]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
4,16586a98-ecaa-43c3-8a0b-4b76c5d3cb15,dep,16521,1522,15977,16,0.001,0,0,2,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.6116033177221976,2.7812614838282266,0.7611176947545687,0.11632258466911995,0.5900982662577455,0.11698065969831634,438002.0,2359296,0.18929254302103252,0.16252390057361377,0.3076271849730123,-1,-1,-1,0.08232092337672159,0.004921412233781504,"[0.07856300212988966, 0.08462074138770216, 0.0857538304714886, 0.08611165831391411, 0.09084307911899, 0.0805997489895161, 0.08469550848159157, 0.07896223973893603, 0.08083390186667215, 0.07222552326851547]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
5,f77c11a9-4087-49d3-8c6e-c9fc4ade8516,dep,16521,1522,15977,16,0.001,0,0,2,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.6327939764145882,2.7781654596328735,0.7285972230869809,0.11649336903057095,0.6086248982912937,0.11698065969831634,369842.0,4718592,0.18929254302103252,0.11663479923518165,0.9503898158659975,-1,-1,-1,0.05852895314865161,0.0035931033933072638,"[0.06260642737928966, 0.05732176606255477, 0.05347588990736038, 0.05727787637801745, 0.0556792532128844, 0.05956589727359186, 0.06398893299187879, 0.0638503104429324, 0.05656199701429553, 0.05496118082371086]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
6,60e53d19-8993-4729-bc40-f53043226370,dep,16521,1522,15977,16,0.001,0,0,3,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.638847058819186,2.797428290049235,0.6919478575438158,0.11632258466911995,0.5796457407523314,0.11698065969831634,419161.0,2359296,0.18929254302103252,0.13957934990439771,0.5857572342803936,-1,-1,-1,0.08467217634406494,0.0026893765048458425,"[0.0855172074015844, 0.08251848093182361, 0.09000330111112771, 0.08322308882548597, 0.08390478422263384, 0.08288996291054214, 0.08146822596903133, 0.0824279396149518, 0.08854088865320267, 0.0862278838002659]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
7,148fae8c-ffbe-45ad-8260-0daf16e74665,dep,16521,1522,15977,16,0.001,0,0,3,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.6375276196387505,2.772543986638387,0.7381856671440135,0.11649336903057095,0.6372285159917381,0.11698065969831634,378173.0,4718592,0.18929254302103252,0.13511790949649458,0.6993251822418738,-1,-1,-1,0.10181328583249931,0.023134380937869552,"[0.08856291615940189, 0.12983070504824928, 0.0692448029478619, 0.14616051717044595, 0.12595660645464865, 0.09904613215274458, 0.09157350733448853, 0.10059785083116735, 0.08251564118268005, 0.08464417904330485]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
8,56693d94-8448-46b1-a2fa-fc059b4bf556,dep,16521,1522,15977,16,0.001,0,0,4,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.589805676091102,2.762091636657715,0.6914488866712406,0.11632258466911995,0.6112536771609188,0.11698065969831634,455189.0,2359296,0.18929254302103252,0.11790949649458253,0.872755742361775,-1,-1,-1,0.06501954797728948,0.009321704887675215,"[0.07203805606178298, 0.07750597358737651, 0.05813908865681266, 0.06846428039045073, 0.050480187964940845, 0.05722307505464767, 0.06779276238192868, 0.0555269084514669, 0.08018053102219766, 0.06284461620129013]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
9,90ec80a2-abde-452c-9193-1bfa9d3dbb5f,dep,16521,1522,15977,16,0.001,0,0,4,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.6556493005444928,2.7579691807428994,0.7086731834879522,0.11649336903057095,0.6419227639732115,0.11698065969831634,471156.0,4718592,0.18929254302103252,0.13766730401529637,0.554697264068973,-1,-1,-1,0.0470852275043631,0.0011864223135088353,"[0.047374484643881457, 0.04719977685795839, 0.04803761469474486, 0.04591535443025763, 0.04811764310468451, 0.04894488050802412, 0.04496696088023821, 0.047932300847225544, 0.04576823694680131, 0.04659502212981497]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
